time_ms,cwnd,ssthresh
6.28,35.62,16.00
6.30,35.65,16.00
6.32,35.68,16.00
6.33,35.70,16.00
6.35,35.73,16.00
6.38,35.76,16.00
6.40,35.79,16.00
6.42,35.82,16.00
6.47,35.84,16.00
6.48,35.87,16.00
6.50,35.90,16.00
6.52,35.93,16.00
6.55,35.96,16.00
6.57,35.98,16.00
6.60,36.01,16.00
6.63,36.04,16.00
6.65,36.07,16.00
6.66,36.09,16.00
6.68,36.12,16.00
6.69,36.15,16.00
6.70,36.18,16.00
6.70,36.21,16.00
6.71,36.23,16.00
6.72,36.26,16.00
6.74,36.29,16.00
6.77,36.32,16.00
6.79,36.34,16.00
6.80,36.37,16.00
6.81,36.40,16.00
6.81,36.43,16.00
6.82,36.45,16.00
6.82,36.48,16.00
6.83,36.51,16.00
6.83,36.54,16.00
6.84,36.56,16.00
6.84,36.59,16.00
6.85,36.62,16.00
6.85,36.64,16.00
6.85,36.67,16.00
6.86,36.70,16.00
6.86,36.73,16.00
6.86,36.75,16.00
6.87,36.78,16.00
6.87,36.81,16.00
6.87,36.84,16.00
6.88,36.86,16.00
6.88,36.89,16.00
6.89,36.92,16.00
6.89,36.94,16.00
6.89,36.97,16.00
6.90,37.00,16.00
6.90,37.02,16.00
6.90,37.05,16.00
6.91,37.08,16.00
6.91,37.11,16.00
6.91,37.13,16.00
6.92,37.16,16.00
6.92,37.19,16.00
6.92,37.21,16.00
6.93,37.24,16.00
6.93,37.27,16.00
6.94,37.29,16.00
6.94,37.32,16.00
6.94,37.35,16.00
6.95,37.37,16.00
6.96,37.40,16.00
