time_ms,cwnd,ssthresh
66126.57,2.50,1.00
66226.80,2.90,1.00
66327.11,3.24,1.00
66427.37,3.55,1.00
66527.67,3.83,1.00
66627.84,4.10,1.00
66728.05,4.34,1.00
66828.29,4.57,1.00
67128.62,1.00,2.28
67229.06,2.00,2.28
67329.38,3.00,2.28
67429.66,3.33,2.28
67529.90,3.63,2.28
67630.11,3.91,2.28
67730.42,4.16,2.28
68030.68,1.00,2.08
68131.24,2.00,2.08
68231.44,3.00,2.08
68531.83,1.00,1.50
68632.30,2.00,1.50
68732.49,2.50,1.50
68832.77,2.90,1.50
68932.96,3.24,1.50
69033.21,3.55,1.50
69133.46,3.83,1.50
69233.67,4.10,1.50
69334.00,4.34,1.50
69434.23,4.57,1.50
69534.53,4.79,1.50
69634.72,5.00,1.50
69734.95,5.20,1.50
69835.17,5.39,1.50
69935.47,5.58,1.50
70235.73,1.00,2.79
70336.41,2.00,2.79
70436.73,3.00,2.79
70737.00,1.00,1.50
70837.63,2.00,1.50
71138.03,1.00,1.00
71238.54,2.00,1.00
71538.90,1.00,1.00
71839.36,1.00,1.00
71939.80,2.00,1.00
72040.06,2.50,1.00
72140.23,2.90,1.00
72240.51,3.24,1.00
72540.87,1.00,1.62
72841.44,1.00,1.00
72942.08,2.00,1.00
73042.37,2.50,1.00
73142.61,2.90,1.00
73242.96,3.24,1.00
73343.19,3.55,1.00
73443.47,3.83,1.00
73543.91,4.10,1.00
73644.12,4.34,1.00
73744.53,4.57,1.00
74044.76,1.00,2.28
74145.15,2.00,2.28
74445.39,1.00,1.00
74545.88,2.00,1.00
74846.25,1.00,1.00
74946.66,2.00,1.00
75046.83,2.50,1.00
75147.14,2.90,1.00
75247.37,3.24,1.00
75547.82,1.00,1.62
75648.34,2.00,1.62
75748.62,2.50,1.62
75848.88,2.90,1.62
75949.11,3.24,1.62
76049.29,3.55,1.62
76149.58,3.83,1.62
76249.81,4.10,1.62
76550.16,1.00,2.05
76650.87,2.00,2.05
76751.18,3.00,2.05
76851.38,3.33,2.05
76951.63,3.63,2.05
77051.84,3.91,2.05
77152.22,4.16,2.05
77252.50,4.40,2.05
77352.78,4.63,2.05
77453.17,4.85,2.05
77553.42,5.05,2.05
77653.73,5.25,2.05
77753.94,5.44,2.05
78054.18,1.00,2.72
78155.00,2.00,2.72
78255.23,3.00,2.72
78355.51,3.33,2.72
78655.86,1.00,1.67
78756.32,2.00,1.67
78856.57,2.50,1.67
78956.83,2.90,1.67
79057.03,3.24,1.67
79357.36,1.00,1.62
79457.72,2.00,1.62
79557.96,2.50,1.62
79658.20,2.90,1.62
79758.39,3.24,1.62
79858.61,3.55,1.62
79958.86,3.83,1.62
80059.05,4.10,1.62
80159.30,4.34,1.62
80259.60,4.57,1.62
80359.88,4.79,1.62
80460.14,5.00,1.62
80560.48,5.20,1.62
80860.74,1.00,2.60
80961.50,2.00,2.60
81261.76,1.00,1.00
81362.70,2.00,1.00
81463.00,2.50,1.00
81563.30,2.90,1.00
81663.56,3.24,1.00
81763.83,3.55,1.00
81864.05,3.83,1.00
81964.27,4.10,1.00
82264.55,1.00,2.05
82365.01,2.00,2.05
82665.23,1.00,1.00
82765.56,2.00,1.00
83065.98,1.00,1.00
83366.46,1.00,1.00
83549.82,2.00,1.00
83649.95,2.50,1.00
83950.33,1.00,1.25
84250.70,1.00,1.00
84551.10,1.00,1.00
84651.51,2.00,1.00
84751.71,2.50,1.00
84851.92,2.90,1.00
84952.15,3.24,1.00
85052.38,3.55,1.00
85152.55,3.83,1.00
85252.79,4.10,1.00
85352.95,4.34,1.00
85453.14,4.57,1.00
85753.35,1.00,2.28
85853.97,2.00,2.28
86154.43,1.00,1.00
86254.91,2.00,1.00
86355.07,2.50,1.00
86455.36,2.90,1.00
86555.61,3.24,1.00
86656.02,3.55,1.00
86756.14,3.83,1.00
86856.30,4.10,1.00
86956.54,4.34,1.00
87056.78,4.57,1.00
87157.09,4.79,1.00
87257.17,5.00,1.00
87357.37,5.20,1.00
87657.63,1.00,2.60
87858.74,2.00,2.60
87959.03,3.00,2.60
88059.19,3.33,2.60
88159.48,3.63,2.60
88459.82,1.00,1.82
88560.22,2.00,1.82
88660.49,2.50,1.82
88760.72,2.90,1.82
88861.01,3.24,1.82
88961.29,3.55,1.82
89061.56,3.83,1.82
89161.81,4.10,1.82
89262.02,4.34,1.82
89362.26,4.57,1.82
89462.48,4.79,1.82
89562.68,5.00,1.82
89662.96,5.20,1.82
89763.18,5.39,1.82
89863.44,5.58,1.82
89963.75,5.75,1.82
90263.98,1.00,2.88
90364.61,2.00,2.88
90464.88,3.00,2.88
90565.25,3.33,2.88
90665.53,3.63,2.88
90765.79,3.91,2.88
90866.06,4.16,2.88
90966.30,4.40,2.88
91266.54,1.00,2.20
91367.11,2.00,2.20
91467.41,3.00,2.20
91567.68,3.33,2.20
91667.93,3.63,2.20
91768.19,3.91,2.20
91868.49,4.16,2.20
91968.83,4.40,2.20
92069.08,4.63,2.20
92169.40,4.85,2.20
92269.62,5.05,2.20
92369.90,5.25,2.20
92470.24,5.44,2.20
92570.56,5.63,2.20
92670.83,5.80,2.20
92771.14,5.98,2.20
92871.53,6.14,2.20
93171.80,1.00,3.07
93373.04,1.00,1.00
93472.20,1.00,1.00
93473.18,2.00,1.00
93573.52,2.50,1.00
93873.82,1.00,1.25
94074.61,2.00,1.25
94174.84,2.50,1.25
94275.10,2.90,1.25
94375.35,3.24,1.25
94675.59,1.00,1.62
94876.70,1.00,1.00
94975.85,1.00,1.00
95077.14,2.00,1.00
95177.34,2.50,1.00
95477.80,1.00,1.25
95478.00,2.00,1.25
95578.21,2.50,1.25
95878.47,1.00,1.25
95878.93,2.00,1.25
95979.27,2.50,1.25
96279.55,1.00,1.25
96280.19,2.00,1.25
96380.34,2.50,1.25
96680.69,1.00,1.25
96681.35,2.00,1.25
96781.62,2.50,1.25
97081.89,1.00,1.25
97082.21,2.00,1.25
97182.47,2.50,1.25
97383.04,2.90,1.25
97483.21,3.24,1.25
97583.45,3.55,1.25
97683.72,3.83,1.25
97784.01,4.10,1.25
97884.28,4.34,1.25
97984.51,4.57,1.25
98084.90,4.79,1.25
98385.18,1.00,2.39
98485.71,2.00,2.39
98585.88,3.00,2.39
98886.14,1.00,1.50
98986.62,2.00,1.50
99287.02,1.00,1.00
99387.45,2.00,1.00
99687.81,1.00,1.00
99788.19,2.00,1.00
99888.48,2.50,1.00
99988.67,2.90,1.00
100088.94,3.24,1.00
100204.99,3.55,1.00
100505.27,1.00,1.78
100805.54,1.00,1.00
100906.16,2.00,1.00
101206.51,1.00,1.00
101306.94,2.00,1.00
101407.24,2.50,1.00
101507.58,2.90,1.00
101808.00,1.00,1.45
101908.49,2.00,1.45
102008.79,2.50,1.45
102108.94,2.90,1.45
102209.12,3.24,1.45
102509.49,1.00,1.62
102610.14,2.00,1.62
102710.37,2.50,1.62
103010.78,1.00,1.25
103311.18,1.00,1.00
103411.68,2.00,1.00
103512.00,2.50,1.00
103812.34,1.00,1.25
103912.86,2.00,1.25
104013.08,2.50,1.25
