time_ms,cwnd,ssthresh
45333.90,3.33,2.39
45384.13,3.63,2.39
45434.34,3.91,2.39
45484.54,4.16,2.39
45534.78,4.40,2.39
45585.13,4.63,2.39
45635.34,4.85,2.39
45685.51,5.05,2.39
45735.81,5.25,2.39
45886.57,2.63,2.63
45986.96,3.01,2.63
46287.51,1.00,1.50
46337.94,2.00,1.50
46388.23,2.50,1.50
46438.46,2.90,1.50
46488.65,3.24,1.50
46538.88,3.55,1.50
46589.08,3.83,1.50
46639.36,4.10,1.50
46689.57,4.34,1.50
46739.80,4.57,1.50
46789.94,4.79,1.50
46840.20,5.00,1.50
46890.45,5.20,1.50
46940.65,5.39,1.50
46990.87,5.58,1.50
47041.08,5.75,1.50
47091.34,5.93,1.50
47141.53,6.10,1.50
47191.71,6.26,1.50
47241.97,6.42,1.50
47292.16,6.58,1.50
47442.96,3.29,3.29
47543.37,3.59,3.29
47843.82,1.00,1.80
47894.33,2.00,1.80
47944.54,2.50,1.80
47995.01,2.90,1.80
48295.51,1.00,1.45
48346.06,2.00,1.45
48396.33,2.50,1.45
48446.70,2.90,1.45
48496.95,3.24,1.45
48547.13,3.55,1.45
48597.44,3.83,1.45
48647.76,4.10,1.45
48697.95,4.34,1.45
48748.23,4.57,1.45
48798.39,4.79,1.45
48848.61,5.00,1.45
48898.96,5.20,1.45
48949.17,5.39,1.45
48999.42,5.58,1.45
49049.65,5.75,1.45
49099.87,5.93,1.45
49149.98,6.10,1.45
49200.31,6.26,1.45
49351.10,3.13,3.13
49500.58,1.00,1.57
49551.10,2.00,1.57
49601.32,2.50,1.57
49651.58,2.90,1.57
49701.84,3.24,1.57
49752.22,3.55,1.57
49802.32,3.83,1.57
49852.52,4.10,1.57
49902.69,4.34,1.57
49952.84,4.57,1.57
50003.09,4.79,1.57
50053.34,5.00,1.57
50204.17,2.50,2.50
50254.53,2.90,2.50
50555.02,1.00,1.45
50605.57,2.00,1.45
50655.84,2.50,1.45
50706.04,2.90,1.45
50756.27,3.24,1.45
50806.54,3.55,1.45
50856.80,3.83,1.45
50907.02,4.10,1.45
50957.30,4.34,1.45
51007.49,4.57,1.45
51307.96,1.00,2.28
51358.49,2.00,2.28
51408.69,3.00,2.28
